privilege_type,privilege_name,privilege_description,privilege_score
scp,ReportSettings.ReadWrite.All,ReportSettings.ReadWrite.All,5
scp,OrgSettings-Todo.Read.All,OrgSettings-Todo.Read.All,5
scp,OrgSettings-Todo.ReadWrite.All,OrgSettings-Todo.ReadWrite.All,5
scp,WindowsUpdates.ReadWrite.All,WindowsUpdates.ReadWrite.All,5
scp,AgentCardManifest.Read.All,AgentCardManifest.Read.All,5
scp,AgentCardManifest.ReadWrite.All,AgentInstance.ReadWrite.All and AgentCardManifest.ReadWrite.All,5
roles,AgentCardManifest.ReadWrite.ManagedBy,"AgentInstance.ReadWrite.All and AgentCardManifest.ReadWrite.All, AgentInstance.ReadWrite.All and AgentCardManifest.ReadWrite.ManagedBy, AgentInstance.ReadWrite.ManagedBy and AgentCardManifest.ReadWrite.All, AgentInstance.ReadWrite.ManagedBy and AgentCardManifest.ReadWrite.ManagedBy",5
scp,AgentCollection.ReadWrite.All,AgentCollection.ReadWrite.All,5
roles,AgentCollection.ReadWrite.ManagedBy,AgentCollection.ReadWrite.ManagedBy,5
scp,AgentCollection.Read.All,AgentCollection.Read.All,5
scp,AgentInstance.Read.All,AgentInstance.Read.All,5
scp,AgentInstance.ReadWrite.All,AgentInstance.ReadWrite.All,5
roles,AgentInstance.ReadWrite.ManagedBy,AgentInstance.ReadWrite.ManagedBy,5
scp,AgentIdentity.ReadWrite.All,"AgentIdentity.ReadWrite.All, Directory.ReadWrite.All",5
roles,AgentIdentity.CreateAsManager,"AgentIdentity.EnableDisable.All, AgentIdentity.CreateAsManager",8
scp,AgentIdentity.DeleteRestore.All,AgentIdentity.DeleteRestore.All,15
scp,AgentIdentity.Read.All,AgentIdentity.Read.All,5
scp,Application.Read.All,Application.Read.All,5
roles,AgentIdentity.Create.All,"AgentIdentity.CreateAsManager, AgentIdentity.Create.All",20
scp,AgentIdentity.EnableDisable.All,AgentIdentity.EnableDisable.All,20
scp,AgentIdentityBlueprint.AddRemoveCreds.All,"AgentIdentityBlueprint.AddRemoveCreds.All, AgentIdentityBlueprint.UpdateBranding.All",20
scp,AgentIdentityBlueprint.ReadWrite.All,AgentIdentityBlueprint.ReadWrite.All,5
scp,AgentIdentityBlueprint.DeleteRestore.All,AgentIdentityBlueprint.DeleteRestore.All,15
scp,Application.ReadWrite.All,Application.ReadWrite.All,5
scp,AgentIdentityBlueprint.Read.All,AgentIdentityBlueprint.Read.All,5
scp,AgentIdentityBlueprint.UpdateBranding.All,"AgentIdentityBlueprint.AddRemoveCreds.All, AgentIdentityBlueprint.UpdateBranding.All",10
scp,AgentIdentityBlueprint.Create,AgentIdentityBlueprint.Create,8
scp,AgentIdentityBlueprintPrincipal.ReadWrite.All,"AgentIdentityBlueprintPrincipal.ReadWrite.All, Directory.ReadWrite.All",5
scp,AgentIdentityBlueprintPrincipal.DeleteRestore.All,AgentIdentityBlueprintPrincipal.DeleteRestore.All,15
scp,AgentIdentityBlueprintPrincipal.Read.All,AgentIdentityBlueprintPrincipal.Read.All,5
scp,AgentIdentityBlueprintPrincipal.Create,AgentIdentityBlueprintPrincipal.Create,8
scp,AgentIdentityBlueprintPrincipal.EnableDisable.All,AgentIdentityBlueprintPrincipal.EnableDisable.All,20
roles,gentInstance.ReadWrite.ManagedBy,"gentInstance.ReadWrite.ManagedBy, AgentInstance.ReadWrite.All",5
scp,IdentityRiskEvent.Read.All,IdentityRiskEvent.Read.All,5
scp,Agreement.ReadWrite.All,Agreement.ReadWrite.All,5
scp,Agreement.Read.All,Agreement.Read.All,5
scp,AgreementAcceptance.Read,AgreementAcceptance.Read,5
scp,AgreementAcceptance.Read.All,AgreementAcceptance.Read.All,5
scp,SecurityEvents.Read.All,SecurityEvents.Read.All,5
scp,SecurityEvents.ReadWrite.All,SecurityEvents.ReadWrite.All,5
scp,CustomSecAttributeDefinition.Read.All,CustomSecAttributeDefinition.Read.All,5
scp,CustomSecAttributeDefinition.ReadWrite.All,CustomSecAttributeDefinition.ReadWrite.All,5
scp,AppCatalog.Submit,AppCatalog.Submit,8
scp,AppCatalog.Read.All,"AppCatalog.Read.All, AppCatalog.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All",5
scp,AppCatalog.ReadWrite.All,"AppCatalog.Read.All, AppCatalog.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All",5
scp,ConsentRequest.Read.All,ConsentRequest.Read.All,5
scp,ConsentRequest.ReadWrite.All,ConsentRequest.ReadWrite.All,5
scp,AuditLog.Read.All,AuditLog.Read.All,5
roles,Application.ReadWrite.OwnedBy,Application.ReadWrite.OwnedBy,5
scp,User.Read,EduRoster.ReadBasic and User.Read,5
roles,Calls.JoinGroupCalls.Chat,Calls.JoinGroupCalls.Chat,20
roles,Calls.Initiate.All,"Calls.Initiate.All, Calls.InitiateGroupCall.All, Calls.JoinGroupCall.All",20
roles,Calls.InitiateGroupCall.All,"Calls.Initiate.All, Calls.InitiateGroupCall.All, Calls.JoinGroupCall.All",20
roles,Calls.JoinGroupCall.All,"Calls.Initiate.All, Calls.InitiateGroupCall.All, Calls.JoinGroupCall.All",20
roles,Calls.JoinGroupCallAsGuest.All,Calls.JoinGroupCallAsGuest.All,20
scp,OnlineMeetings.ReadWrite,OnlineMeetings.ReadWrite,5
roles,OnlineMeetings.ReadWrite.All,OnlineMeetings.ReadWrite.All,5
scp,Reports.Read.All,Reports.Read.All,5
scp,PrivilegedAssignmentSchedule.Read.AzureADGroup,PrivilegedAssignmentSchedule.Read.AzureADGroup,5
scp,PrivilegedAssignmentSchedule.ReadWrite.AzureADGroup,PrivilegedAssignmentSchedule.ReadWrite.AzureADGroup,5
scp,RoleAssignmentSchedule.Read.Directory,RoleAssignmentSchedule.Read.Directory,5
scp,RoleAssignmentSchedule.ReadWrite.Directory,RoleAssignmentSchedule.ReadWrite.Directory,5
scp,ApprovalSolution.ReadWrite,"ApprovalSolution.ReadWrite, ApprovalSolutionResponse.ReadWrite",5
scp,ApprovalSolution.Read,ApprovalSolution.Read,5
scp,ApprovalSolutionResponse.ReadWrite,"ApprovalSolution.ReadWrite, ApprovalSolutionResponse.ReadWrite",5
scp,Team.ReadBasic.All,Team.ReadBasic.All,5
scp,TeamSettings.Read.All,"TeamSettings.Read.All, TeamSettings.ReadWrite.All",5
scp,TeamSettings.ReadWrite.All,"TeamSettings.Read.All, TeamSettings.ReadWrite.All",5
scp,Calendars.ReadWrite,"Calendars.Read, Calendars.ReadBasic, Calendars.ReadWrite, Group.ReadWrite.All",5
scp,Mail.ReadWrite,Mail.ReadWrite,5
scp,AttackSimulation.Read.All,AttackSimulation.Read.All,5
scp,AttackSimulation.ReadWrite.All,AttackSimulation.ReadWrite.All,5
scp,OnlineMeetingArtifact.Read.All,OnlineMeetingArtifact.Read.All,5
roles,OnlineMeetingArtifact.Read.Chat,OnlineMeetingArtifact.Read.Chat,5
scp,CustomSecAttributeAuditLogs.Read.All,CustomSecAttributeAuditLogs.Read.All,5
scp,UserAuthMethod-External.ReadWrite.All,UserAuthMethod-External.ReadWrite.All,5
scp,UserAuthenticationMethod.ReadWrite,"UserAuthenticationMethod.ReadWrite.All, UserAuthenticationMethod.Read, UserAuthenticationMethod.Read.All, UserAuthenticationMethod.ReadWrite, UserAuthMethod-Passkey.Read.All, UserAuthMethod-Passkey.ReadWrite, UserAuthMethod-Passkey.ReadWrite.All",5
scp,UserAuthenticationMethod.ReadWrite.All,"UserAuthenticationMethod.ReadWrite.All, UserAuthenticationMethod.Read, UserAuthenticationMethod.Read.All, UserAuthenticationMethod.ReadWrite, UserAuthMethod-Passkey.Read.All, UserAuthMethod-Passkey.ReadWrite, UserAuthMethod-Passkey.ReadWrite.All",5
scp,UserAuthMethod-QR.ReadWrite,"UserAuthenticationMethod.ReadWrite.All, UserAuthMethod-QR.ReadWrite, UserAuthMethod-QR.ReadWrite.All",5
scp,UserAuthMethod-QR.ReadWrite.All,"UserAuthenticationMethod.ReadWrite.All, UserAuthMethod-QR.ReadWrite, UserAuthMethod-QR.ReadWrite.All",5
scp,Policy.ReadWrite.AuthenticationMethod,Policy.ReadWrite.AuthenticationMethod,5
scp,UserAuthenticationMethod.Read,"UserAuthenticationMethod.ReadWrite.All, UserAuthenticationMethod.Read, UserAuthenticationMethod.Read.All, UserAuthenticationMethod.ReadWrite, UserAuthMethod-Passkey.Read.All, UserAuthMethod-Passkey.ReadWrite, UserAuthMethod-Passkey.ReadWrite.All",5
scp,UserAuthMethod-Email.Read,UserAuthMethod-Email.Read,5
scp,UserAuthenticationMethod.Read.All,"UserAuthenticationMethod.ReadWrite.All, UserAuthenticationMethod.Read, UserAuthenticationMethod.Read.All, UserAuthenticationMethod.ReadWrite, UserAuthMethod-Passkey.Read.All, UserAuthMethod-Passkey.ReadWrite, UserAuthMethod-Passkey.ReadWrite.All",5
scp,UserAuthMethod-Email.Read.All,"UserAuthenticationMethod.ReadWrite.All, UserAuthenticationMethod.Read, UserAuthenticationMethod.Read.All, UserAuthenticationMethod.ReadWrite, UserAuthMethod-Email.Read.All, UserAuthMethod-Email.ReadWrite.All",5
scp,UserAuthMethod-Email.ReadWrite.All,"UserAuthMethod-Email.ReadWrite.All, UserAuthenticationMethod.ReadWrite",5
scp,UserAuthMethod-External.Read,UserAuthMethod-External.Read,5
scp,UserAuthMethod-External.Read.All,"UserAuthenticationMethod.Read, UserAuthenticationMethod.Read.All, UserAuthenticationMethod.ReadWrite, UserAuthenticationMethod.ReadWrite.All, UserAuthMethod-External.Read.All, UserAuthMethod-External.ReadWrite.All",5
scp,UserAuthMethod-Password.Read,UserAuthMethod-Password.Read,5
scp,UserAuthMethod-Password.Read.All,"UserAuthenticationMethod.Read, UserAuthenticationMethod.Read.All, UserAuthenticationMethod.ReadWrite, UserAuthenticationMethod.ReadWrite.All, UserAuthMethod-Password.Read.All, UserAuthMethod-Password.ReadWrite, UserAuthMethod-Password.ReadWrite.All",5
scp,UserAuthMethod-Password.ReadWrite,"UserAuthenticationMethod.Read, UserAuthenticationMethod.Read.All, UserAuthenticationMethod.ReadWrite, UserAuthenticationMethod.ReadWrite.All, UserAuthMethod-Password.Read.All, UserAuthMethod-Password.ReadWrite, UserAuthMethod-Password.ReadWrite.All",5
scp,UserAuthMethod-Password.ReadWrite.All,"UserAuthenticationMethod.Read, UserAuthenticationMethod.Read.All, UserAuthenticationMethod.ReadWrite, UserAuthenticationMethod.ReadWrite.All, UserAuthMethod-Password.Read.All, UserAuthMethod-Password.ReadWrite, UserAuthMethod-Password.ReadWrite.All",5
scp,UserAuthMethod-Phone.Read,UserAuthMethod-Phone.Read,5
scp,UserAuthMethod-Phone.Read.All,"UserAuthenticationMethod.Read, UserAuthenticationMethod.Read.All, UserAuthenticationMethod.ReadWrite, UserAuthenticationMethod.ReadWrite.All, UserAuthMethod-Phone.Read.All, UserAuthMethod-Phone.ReadWrite, UserAuthMethod-Phone.ReadWrite.All",5
scp,UserAuthMethod-Phone.ReadWrite,UserAuthMethod-Phone.ReadWrite,5
scp,UserAuthMethod-Phone.ReadWrite.All,"UserAuthMethod-Phone.ReadWrite.All, UserAuthenticationMethod.ReadWrite, UserAuthenticationMethod.ReadWrite.All",5
scp,UserAuthMethod-SoftwareOATH.Read,UserAuthMethod-SoftwareOATH.Read,5
scp,UserAuthMethod-SoftwareOATH.Read.All,"UserAuthenticationMethod.Read, UserAuthenticationMethod.Read.All, UserAuthenticationMethod.ReadWrite, UserAuthenticationMethod.ReadWrite.All, UserAuthMethod-SoftwareOATH.Read.All, UserAuthMethod-SoftwareOATH.ReadWrite, UserAuthMethod-SoftwareOATH.ReadWrite.All",5
scp,UserAuthMethod-SoftwareOATH.ReadWrite,"UserAuthenticationMethod.Read, UserAuthenticationMethod.Read.All, UserAuthenticationMethod.ReadWrite, UserAuthenticationMethod.ReadWrite.All, UserAuthMethod-SoftwareOATH.Read.All, UserAuthMethod-SoftwareOATH.ReadWrite, UserAuthMethod-SoftwareOATH.ReadWrite.All",5
scp,UserAuthMethod-SoftwareOATH.ReadWrite.All,"UserAuthenticationMethod.Read, UserAuthenticationMethod.Read.All, UserAuthenticationMethod.ReadWrite, UserAuthenticationMethod.ReadWrite.All, UserAuthMethod-SoftwareOATH.Read.All, UserAuthMethod-SoftwareOATH.ReadWrite, UserAuthMethod-SoftwareOATH.ReadWrite.All",5
scp,UserAuthMethod-TAP.Read,UserAuthMethod-TAP.Read,5
scp,UserAuthMethod-TAP.Read.All,"UserAuthenticationMethod.ReadWrite.All, UserAuthenticationMethod.Read, UserAuthenticationMethod.Read.All, UserAuthenticationMethod.ReadWrite, UserAuthMethod-TAP.Read.All, UserAuthMethod-TAP.ReadWrite, UserAuthMethod-TAP.ReadWrite.All",5
scp,UserAuthMethod-TAP.ReadWrite,"UserAuthenticationMethod.ReadWrite.All, UserAuthenticationMethod.Read, UserAuthenticationMethod.Read.All, UserAuthenticationMethod.ReadWrite, UserAuthMethod-TAP.Read.All, UserAuthMethod-TAP.ReadWrite, UserAuthMethod-TAP.ReadWrite.All",5
scp,UserAuthMethod-TAP.ReadWrite.All,"UserAuthenticationMethod.ReadWrite.All, UserAuthenticationMethod.Read, UserAuthenticationMethod.Read.All, UserAuthenticationMethod.ReadWrite, UserAuthMethod-TAP.Read.All, UserAuthMethod-TAP.ReadWrite, UserAuthMethod-TAP.ReadWrite.All",5
scp,Policy.Read.AuthenticationMethod,Policy.Read.AuthenticationMethod,5
scp,Policy.ReadWrite.ConditionalAccess,Policy.Read.All and Policy.ReadWrite.ConditionalAccess,5
scp,EventListener.ReadWrite.All,EventListener.ReadWrite.All,5
scp,EventListener.Read.All,EventListener.Read.All,5
scp,AuthenticationContext.ReadWrite.All,"AuthenticationContext.ReadWrite.All, Policy.Read.ConditionalAccess, Policy.ReadWrite.ConditionalAccess",5
scp,Policy.Read.ConditionalAccess,"AuthenticationContext.ReadWrite.All, Policy.Read.ConditionalAccess, Policy.ReadWrite.ConditionalAccess",5
scp,AuthenticationContext.Read.All,AuthenticationContext.Read.All,5
scp,Policy.ReadWrite.AuthenticationFlows,Policy.ReadWrite.AuthenticationFlows,5
scp,Policy.ReadWrite.Authorization,Policy.ReadWrite.Authorization,5
roles,PermissionsAnalytics.Read.OwnedBy,PermissionsAnalytics.Read.OwnedBy,5
scp,Policy.Read.B2BManagementPolicy,Policy.Read.B2BManagementPolicy,5
scp,Policy.ReadWrite.B2BManagementPolicy,Policy.ReadWrite.B2BManagementPolicy,5
scp,IdentityUserFlow.ReadWrite.All,IdentityUserFlow.ReadWrite.All,5
scp,IdentityUserFlow.Read.All,IdentityUserFlow.Read.All,5
scp,BackupRestore-Control.ReadWrite.All,BackupRestore-Control.ReadWrite.All,5
scp,BackupRestore-Control.Read.All,BackupRestore-Control.Read.All,5
scp,BackupRestore-Configuration.Read.All,BackupRestore-Configuration.Read.All,5
scp,BackupRestore-Restore.Read.All,BackupRestore-Restore.Read.All,5
scp,BackupRestore-Restore.ReadWrite.All,BackupRestore-Restore.ReadWrite.All,5
scp,BackupRestore-Configuration.ReadWrite.All,BackupRestore-Configuration.ReadWrite.All,5
scp,Tasks.ReadWrite,Tasks.ReadWrite,5
scp,Tasks.Read,Tasks.Read,5
scp,BitlockerKey.ReadBasic.All,BitlockerKey.ReadBasic.All,5
scp,BitlockerKey.Read.All,BitlockerKey.Read.All,5
scp,BookingsAppointment.ReadWrite.All,"Bookings.Manage.All, Bookings.ReadWrite.All, BookingsAppointment.ReadWrite.All",5
scp,Bookings.Manage.All,Bookings.Manage.All,20
scp,Bookings.ReadWrite.All,Bookings.ReadWrite.All,5
scp,Bookings.Read.All,Bookings.Read.All,5
scp,Calendars.Read,"Calendars.Read, Calendars.ReadBasic, Calendars.ReadWrite, Group.ReadWrite.All",5
scp,BrowserSiteLists.Read.All,BrowserSiteLists.Read.All,5
scp,BrowserSiteLists.ReadWrite.All,BrowserSiteLists.ReadWrite.All,5
scp,Place.ReadWrite.All,Place.ReadWrite.All,5
scp,Place.Read.All,Place.Read.All,5
scp,BusinessScenarioConfig.ReadWrite.OwnedBy,"BusinessScenarioConfig.Read.All, BusinessScenarioConfig.ReadWrite.All, BusinessScenarioConfig.ReadWrite.OwnedBy",5
scp,BusinessScenarioConfig.ReadWrite.All,"BusinessScenarioConfig.Read.All, BusinessScenarioConfig.ReadWrite.All, BusinessScenarioConfig.ReadWrite.OwnedBy",5
scp,BusinessScenarioConfig.Read.OwnedBy,BusinessScenarioConfig.Read.OwnedBy,5
scp,BusinessScenarioConfig.Read.All,"BusinessScenarioConfig.Read.All, BusinessScenarioConfig.ReadWrite.All, BusinessScenarioConfig.ReadWrite.OwnedBy",5
scp,BusinessScenarioData.ReadWrite.OwnedBy,BusinessScenarioData.ReadWrite.OwnedBy,5
scp,BusinessScenarioData.Read.OwnedBy,BusinessScenarioData.Read.OwnedBy,5
scp,Calendars.ReadBasic,"Calendars.Read, Calendars.ReadBasic, Calendars.ReadWrite, Group.ReadWrite.All",5
scp,Calendars.Read.Shared,"Calendars.ReadWrite, Calendars.Read, Calendars.Read.Shared",5
roles,Calls.AccessMedia.All,Calls.AccessMedia.All,20
roles,OnlineMeetingRecording.Read.All,OnlineMeetingRecording.Read.All,5
roles,CallRecords.Read.All,CallRecords.Read.All,5
scp,CallDelegation.Read,CallDelegation.Read,5
scp,CallDelegation.ReadWrite,CallDelegation.ReadWrite,5
roles,OnlineMeetingTranscript.Read.All,OnlineMeetingTranscript.Read.All,5
scp,AppCertTrustConfiguration.Read.All,AppCertTrustConfiguration.Read.All,5
scp,AppCertTrustConfiguration.ReadWrite.All,AppCertTrustConfiguration.ReadWrite.All,5
scp,PublicKeyInfrastructure.Read.All,PublicKeyInfrastructure.Read.All,5
scp,PublicKeyInfrastructure.ReadWrite.All,PublicKeyInfrastructure.ReadWrite.All,5
scp,MutualTlsOauthConfiguration.Read.All,MutualTlsOauthConfiguration.Read.All,5
scp,MutualTlsOauthConfiguration.ReadWrite.All,MutualTlsOauthConfiguration.ReadWrite.All,5
roles,Organization.ReadWrite.All,"Directory.Read.All, Organization.ReadWrite.All",5
scp,Organization.Read.All,Organization.Read.All,5
scp,Schedule.ReadWrite.All,Schedule.ReadWrite.All,5
scp,Group.ReadWrite.All,Group.ReadWrite.All,5
scp,ChannelSettings.ReadWrite.All,ChannelSettings.ReadWrite.All,5
roles,Teamwork.Migrate.All,Teamwork.Migrate.All,20
scp,ChannelMember.ReadWrite.All,ChannelMember.ReadWrite.All,5
roles,ChannelMember.ReadWrite.Group,ChannelMember.ReadWrite.Group,5
scp,Channel.Delete.All,Channel.Delete.All,15
roles,Channel.Delete.Group,Channel.Delete.Group,15
scp,TeamsTab.ReadWriteSelfForTeam,"Directory.ReadWrite.All, Group.ReadWrite.All, TeamsTab.ReadWrite.All, TeamsTab.ReadWriteForTeam, TeamsTab.ReadWriteSelfForTeam",5
scp,TeamsTab.ReadWrite.All,"TeamsTab.ReadWrite.All, TeamsTab.ReadWriteForChat, TeamsTab.ReadWriteSelfForChat",5
scp,TeamsTab.ReadWriteForTeam,"Directory.ReadWrite.All, Group.ReadWrite.All, TeamsTab.ReadWrite.All, TeamsTab.ReadWriteForTeam, TeamsTab.ReadWriteSelfForTeam",5
roles,TeamsTab.Delete.Group,TeamsTab.Delete.Group,15
roles,TeamsTab.ReadWrite.Group,TeamsTab.ReadWrite.Group,5
roles,TeamsTab.ReadWriteForTeam.All,"Directory.ReadWrite.All, Group.ReadWrite.All, TeamsTab.Create, TeamsTab.ReadWrite.All, TeamsTab.ReadWriteForTeam.All, TeamsTab.ReadWriteSelfForTeam.All",5
roles,TeamsTab.ReadWriteSelfForTeam.All,"Directory.ReadWrite.All, Group.ReadWrite.All, TeamsTab.Create, TeamsTab.ReadWrite.All, TeamsTab.ReadWriteForTeam.All, TeamsTab.ReadWriteSelfForTeam.All",5
scp,ChannelMember.Read.All,ChannelMember.Read.All,5
scp,Group.Read.All,AppRoleAssignment.ReadWrite.All and Group.Read.All,5
roles,File.Read.Group,"File.Read.Group, Files.ReadWrite.All, Group.Read.All, Group.ReadWrite.All, Sites.Read.All, Sites.ReadWrite.All",5
roles,ChannelMember.Read.Group,ChannelMember.Read.Group,5
scp,Channel.ReadBasic.All,Channel.ReadBasic.All,5
scp,ChannelSettings.Read.All,"ChannelSettings.Read.All, ChannelSettings.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All, Group.Read.All, Group.ReadWrite.All",5
roles,ChannelSettings.Read.Group,ChannelSettings.Read.Group,5
roles,ChannelSettings.ReadWrite.Group,ChannelSettings.ReadWrite.Group,5
scp,TeamsTab.Read.All,TeamsTab.Read.All,5
roles,TeamsTab.Read.Group,TeamsTab.Read.Group,5
roles,ChannelMessage.Read.All,ChannelMessage.Read.All,5
roles,ChannelMessage.Read.Group,ChannelMessage.Read.Group,5
scp,ChannelMessage.Send,ChannelMessage.Send,8
scp,Channel.Create,Channel.Create,8
roles,Channel.Create.Group,Channel.Create.Group,8
scp,TeamsTab.Create,TeamsTab.Create,8
roles,TeamsTab.Create.Group,TeamsTab.Create.Group,8
scp,TeamsAppInstallation.ReadWriteSelfForChat,TeamsAppInstallation.ReadWriteSelfForChat,5
scp,TeamsAppInstallation.ManageSelectedForChat,"TeamsAppInstallation.ManageSelectedForChat, TeamsAppInstallation.ReadWriteAndConsentForChat, TeamsAppInstallation.ReadWriteAndConsentSelfForChat, TeamsAppInstallation.ReadWriteForChat",20
scp,TeamsAppInstallation.ReadWriteForChat,"TeamsAppInstallation.ManageSelectedForChat, TeamsAppInstallation.ReadWriteAndConsentForChat, TeamsAppInstallation.ReadWriteAndConsentSelfForChat, TeamsAppInstallation.ReadWriteForChat",5
roles,TeamsAppInstallation.ReadWriteSelfForChat.All,TeamsAppInstallation.ReadWriteSelfForChat.All,5
roles,Chat.Manage.Chat,"Chat.Manage.Chat, Chat.Read.All, Chat.ReadBasic.All, Chat.ReadWrite.All, ChatMember.Read.Chat, ChatMember.ReadWrite.All",8
roles,TeamsAppInstallation.ManageSelectedForChat.All,"Chat.Manage.Chat, TeamsAppInstallation.ManageSelectedForChat.All, TeamsAppInstallation.ReadWriteAndConsentForChat.All, TeamsAppInstallation.ReadWriteAndConsentSelfForChat.All, TeamsAppInstallation.ReadWriteForChat.All",20
roles,TeamsAppInstallation.ReadWriteForChat.All,"Chat.Manage.Chat, TeamsAppInstallation.ManageSelectedForChat.All, TeamsAppInstallation.ReadWriteAndConsentForChat.All, TeamsAppInstallation.ReadWriteAndConsentSelfForChat.All, TeamsAppInstallation.ReadWriteForChat.All",5
scp,ChatMember.ReadWrite,"ChatMember.ReadWrite, Chat.Read, Chat.ReadWrite, ChatMember.Read",5
roles,ChatMember.ReadWrite.All,"Chat.Manage.Chat, Chat.Read.All, Chat.ReadBasic.All, Chat.ReadWrite.All, ChatMember.Read.Chat, ChatMember.ReadWrite.All",5
scp,Chat.ManageDeletion.All,Chat.ManageDeletion.All,20
roles,Chat.ManageDeletion.Chat,Chat.ManageDeletion.Chat,8
scp,Chat.ReadWrite,"ChatMember.ReadWrite, Chat.Read, Chat.ReadWrite, ChatMember.Read",5
roles,Chat.ReadWrite.All,"Chat.Manage.Chat, Chat.Read.All, Chat.ReadBasic.All, Chat.ReadWrite.All, ChatMember.Read.Chat, ChatMember.ReadWrite.All",5
scp,TeamsTab.ReadWriteSelfForChat,"TeamsTab.ReadWrite.All, TeamsTab.ReadWriteForChat, TeamsTab.ReadWriteSelfForChat",5
scp,TeamsTab.ReadWriteForChat,"TeamsTab.ReadWrite.All, TeamsTab.ReadWriteForChat, TeamsTab.ReadWriteSelfForChat",5
roles,TeamsTab.ReadWriteSelfForChat.All,"TeamsTab.Create.Chat, TeamsTab.ReadWrite.All, TeamsTab.ReadWrite.Chat, TeamsTab.ReadWriteForChat.All, TeamsTab.ReadWriteSelfForChat.All",5
roles,TeamsTab.Delete.Chat,"TeamsTab.Delete.Chat, TeamsTab.ReadWrite.All, TeamsTab.ReadWrite.Chat, TeamsTab.ReadWriteForChat",15
roles,TeamsTab.ReadWrite.Chat,"TeamsTab.Create.Chat, TeamsTab.ReadWrite.All, TeamsTab.ReadWrite.Chat, TeamsTab.ReadWriteForChat.All, TeamsTab.ReadWriteSelfForChat.All",5
scp,TeamsAppInstallation.ReadForChat,TeamsAppInstallation.ReadForChat,5
roles,TeamsAppInstallation.ReadForChat.All,TeamsAppInstallation.ReadForChat.All,5
roles,TeamsAppInstallation.Read.All,"TeamsAppInstallation.ReadWriteSelfForChat.All, Chat.Manage.Chat, TeamsAppInstallation.ManageSelectedForChat.All, TeamsAppInstallation.Read.All, TeamsAppInstallation.Read.Chat, TeamsAppInstallation.ReadWriteAndConsentForChat.All, TeamsAppInstallation.ReadWriteAndConsentSelfForChat.All, TeamsAppInstallation.ReadWriteForChat.All",5
roles,TeamsAppInstallation.Read.Chat,"TeamsAppInstallation.ReadWriteSelfForChat.All, Chat.Manage.Chat, TeamsAppInstallation.ManageSelectedForChat.All, TeamsAppInstallation.Read.All, TeamsAppInstallation.Read.Chat, TeamsAppInstallation.ReadWriteAndConsentForChat.All, TeamsAppInstallation.ReadWriteAndConsentSelfForChat.All, TeamsAppInstallation.ReadWriteForChat.All",5
