privilege_type,privilege_name,privilege_description,privilege_score,suggested_privilege_score,extended_description
scp,Files.ReadWrite.All,"Files.ReadWrite.All, Sites.ReadWrite.All",5,10,"Files.ReadWrite.All allows a user to access and modify all files in the organization,including personal files,shared files,and system files. This privilege is useful for applications that need to manage large amounts of data across different users' OneDrive accounts. Security implications include the potential for unauthorized access or modification of sensitive information if proper security measures are not in place. Use cases include file backup and synchronization services,collaboration tools,and automated file processing workflows. Guidance includes ensuring that all access to files is properly authenticated and authorized,limiting the number of users with this privilege,and regularly auditing access to sensitive information."
scp,Sites.Read.All,"Files.Read.All, Files.ReadWrite, Files.ReadWrite.All, Sites.Read.All, Sites.ReadWrite.All",5,12,"Sites.Read.All allows read-only access to all site collections and lists, including those that are not visible through the default SharePoint user interface. This includes reading files, folders, and other objects stored in the site. Use this privilege sparingly, as it can expose sensitive information. Consider granting more limited permissions, such as Sites.Read.All for specific sites or lists, instead of using this broader privilege."
scp,Sites.ReadWrite.All,"Files.ReadWrite.All, Sites.ReadWrite.All",5,20,"The 'Sites.ReadWrite.All' privilege allows a user or service principal to create, read, update, and delete any site collection or subsite in the tenant. This includes creating new site collections or subsites, as well as modifying existing ones. This privilege also allows access to all site contents, including files, pages, and other data.

This privilege has significant security implications, as it effectively grants unrestricted access to all sites in the tenant. It is not recommended to grant this privilege to users or service principals unless absolutely necessary. Instead, consider using more granular privileges, such as 'Sites.Read.All' and 'Sites.Write.All', which allow for read-only or write-only access to specific site collections or subsite.

Use-cases for this privilege include automated scripts or services that need to create or modify sites programmatically, but should be used sparingly and with caution. Guidance for using this privilege includes only granting it to trusted service principals or users, and implementing strong access controls and auditing to ensure proper use."
scp,ContentActivity.Write,ContentActivity.Write,15,10,"Allow users to create, edit, and delete content in this site collection. This privilege is automatically granted to the Site Collection Administrators group and should only be assigned to trusted individuals or groups. Granting this privilege to a large number of users can increase the risk of data loss or tampering."
scp,Policy.Read.ApplicationConfiguration,Policy.Read.ApplicationConfiguration,5,1,"This privilege is used by applications that need to read the application configuration data in order to function properly. For example,an application that manages the configuration of other applications might use this privilege to read the configuration settings for those applications."
scp,Policy.ReadWrite.ApplicationConfiguration,Policy.ReadWrite.ApplicationConfiguration,5,15,"The 'Policy.ReadWrite.ApplicationConfiguration' privilege allows an application to read and write to the policy configurations for applications. This includes the ability to modify security policies, which could potentially allow an attacker to gain unauthorized access to sensitive data or system resources. It is important to carefully consider the use-cases for this privilege and ensure that it is only granted to trusted applications that require it."
scp,Analytics.Read,Analytics.Read,5,10,"Allows the user to read analytics data for their organization's resources, including insights into system usage and performance. This privilege is used by Microsoft services to collect data for analysis and troubleshooting. By granting this privilege, you are giving access to your organization's sensitive information."
scp,OrgSettings-AppsAndServices.Read.All,OrgSettings-AppsAndServices.Read.All,5,15,"Grants the ability to read all settings related to applications and services in your organization, including but not limited to app permissions, service configuration, and security settings. This privilege does not allow for modifications or changes to these settings. Use this privilege to grant access to an application that needs to retrieve information about your organization's applications and services, such as a management tool or reporting system. Do not use this privilege for personal or unauthorized use."
scp,OrgSettings-AppsAndServices.ReadWrite.All,OrgSettings-AppsAndServices.ReadWrite.All,5,-1,"extended_description: The OrgSettings-AppsAndServices.ReadWrite.All privilege allows an application to read and write all settings related to apps and services in an organization's tenant, including those that are not accessible through other privileges. This includes access to sensitive data such as user credentials and encryption keys, so it is important to use this privilege with caution and only when absolutely necessary. Use cases for this privilege might include management applications that need to configure apps and services on behalf of users, or third-party integrations that need to synchronize app and service settings across multiple tenants. However, the use of this privilege should be carefully evaluated and monitored to ensure that it is not being used maliciously or without appropriate security measures in place."
scp,Policy.ReadWrite.ConsentRequest,Policy.ReadWrite.ConsentRequest,5,17,"The security implications of this privilege are significant,as it allows an application to read and write sensitive information about users and groups,including their permissions and access to resources. Applications should only be granted this privilege if they have a legitimate reason for doing so,such as managing user consent for access to resources."
scp,Directory.Read.All,"Directory.Read.All, Group.Read.All, Group.ReadWrite.All, GroupMember.ReadWrite.All",5,18,"Microsoft Graph API's Directory.Read.All privilege allows an application to read and enumerate objects in Azure Active Directory,including users,groups,and other directory resources. This privilege is required for applications that need to access directory data,such as user profiles or group memberships,but do not require write access."
scp,Directory.ReadWrite.All,Directory.ReadWrite.All,5,15,Security implications:
scp,OrgSettings-DynamicsVoice.Read.All,OrgSettings-DynamicsVoice.Read.All,5,-1,Read the Dynamics Voice settings for all organizations
scp,OrgSettings-DynamicsVoice.ReadWrite.All,OrgSettings-DynamicsVoice.ReadWrite.All,5,18,"Allows for the full access to Dynamics Voice related data and settings, including call recording, voice policy, and more. This privilege is used by administrators who are responsible for managing these settings in their organization."
scp,OrgSettings-Forms.Read.All,OrgSettings-Forms.Read.All,5,17,"Read all form templates and data in Microsoft Forms for your organization. This privilege allows an application to access sensitive data stored in Microsoft Forms, including personal information and sensitive business data. Applications with this privilege can potentially read and exfiltrate sensitive data without the user's knowledge or consent. Therefore, it is important to carefully evaluate the security implications of granting this privilege to an application."
scp,OrgSettings-Forms.ReadWrite.All,OrgSettings-Forms.ReadWrite.All,5,18,"It is important to note that granting this privilege can potentially allow an application to access and modify sensitive information in your organization's settings,so it should only be granted to trusted applications that require this functionality. Additionally,you should consider implementing appropriate access controls and monitoring to ensure that the privilege is used appropriately and securely."
scp,AdministrativeUnit.ReadWrite.All,AdministrativeUnit.ReadWrite.All,5,19,"AdministrativeUnit.ReadWrite.All allows read and write permissions for administrative units, including creating, updating, and deleting them. This privilege also grants permission to modify other objects within the administrative unit, such as users, groups, and services. It should be used with caution, as it can potentially allow an attacker to gain access to sensitive information or make changes that impact the entire organization."
scp,RoleManagement.ReadWrite.Directory,"Directory.Read.All, Directory.ReadWrite.All, RoleManagement.ReadWrite.Directory",5,17,RoleManagement.ReadWrite.Directory
scp,AdministrativeUnit.Read.All,AdministrativeUnit.Read.All,5,18,"AdministrativeUnit.Read.All allows read-only access to administrative units and their properties,including display name,description,visibility,and membership. This privilege is used to query the directory for administrative unit objects and to retrieve information about them. It is typically used by applications that need to interact with administrative units in Azure AD,such as provisioning or monitoring tools."
scp,RoleManagement.Read.Directory,RoleManagement.Read.Directory,5,17,"""extended_description"": ""Role Management allows reading role assignments and permissions for users, groups and service principals in your tenant. This privilege is necessary to manage and delegate access to resources within your tenant. However, it's important to use this privilege with caution, as an attacker with this privilege could potentially escalate their privileges and gain unauthorized access to sensitive data."""
scp,ReportSettings.Read.All,ReportSettings.Read.All,5,15,"The `ReportSettings.Read.All` privilege allows reading the settings for all reports, including report queries, filters, and other settings. This privilege is used by applications that need to retrieve information about existing reports and their configurations, such as a reporting dashboard or an analytics platform.

This privilege has security implications as it allows access to sensitive data and configurations. Therefore, it should be granted only to trusted applications and users who require this level of access for legitimate purposes. Additionally, the application should be designed with appropriate safeguards to protect the data and prevent unauthorized access or misuse.

Use cases for this privilege include:

* A reporting dashboard that allows users to view and interact with existing reports and their configurations.
* An analytics platform that requires access to report settings for advanced analysis and visualization purposes.
* A backup and recovery system that needs to retrieve report settings to ensure data consistency during restoration.

Guidance:

* Grant this privilege only to trusted applications and users who require it for legitimate purposes.
* Implement appropriate safeguards to protect sensitive data and prevent unauthorized access or misuse.
* Ensure that the application is designed with security in mind and implements robust error handling and validation mechanisms."
scp,ReportSettings.ReadWrite.All,ReportSettings.ReadWrite.All,5,15,"The ReportSettings.ReadWrite.All privilege allows an application to read and write the configuration of reports for the entire organization, including report names, descriptions, filters, and other settings. This privilege could potentially be used to gain unauthorized access to sensitive information or disrupt the normal functioning of the system. It is important to exercise caution when granting this privilege, and only to trusted applications and users who need it for legitimate purposes. Additionally, it is recommended to use fine-grained permissions and restrict access to specific resources whenever possible."
scp,OrgSettings-Todo.Read.All,OrgSettings-Todo.Read.All,5,17,"""extended_description"": ""OrgSettings-Todo.Read.All allows reading of all tasks in To Do, including task descriptions and due dates. This privilege is typically used by applications that need to access To Do information for all users in an organization."""
scp,OrgSettings-Todo.ReadWrite.All,OrgSettings-Todo.ReadWrite.All,5,18,OrgSettings-Todo.ReadWrite.All
scp,WindowsUpdates.ReadWrite.All,WindowsUpdates.ReadWrite.All,5,18,"Allow an application to read and write the Windows Updates settings for all users in the organization. This privilege can be used by a service or daemon that needs to manage updates on behalf of all users, but should only be granted to trusted applications."
scp,AgentCardManifest.Read.All,AgentCardManifest.Read.All,5,1,"AgentCardManifest.Read.All allows an app to read the manifest of a user's digital business card, including its display name, location, and contact information. This privilege does not provide access to any personal information, but it may allow an attacker to impersonate the user or steal their identity if the app is compromised. It is important to use this privilege only when necessary and to verify the app's legitimacy before granting permission. The app should also follow security best practices and handle sensitive data securely."
scp,AgentCardManifest.ReadWrite.All,AgentInstance.ReadWrite.All and AgentCardManifest.ReadWrite.All,5,13,"extended_description:""The AgentCardManifest.ReadWrite.All privilege allows an app to read and write all agent card manifests. This privilege is used by apps that need to create, update or delete agent card manifests for agents. Security implications: This privilege grants broad access to the agent card manifest data. Use-cases: Apps that need to manage agent card manifests can use this privilege. Guidance: Only grant this privilege to trusted apps."""
roles,AgentCardManifest.ReadWrite.ManagedBy,"AgentInstance.ReadWrite.All and AgentCardManifest.ReadWrite.All, AgentInstance.ReadWrite.All and AgentCardManifest.ReadWrite.ManagedBy, AgentInstance.ReadWrite.ManagedBy and AgentCardManifest.ReadWrite.All, AgentInstance.ReadWrite.ManagedBy and AgentCardManifest.ReadWrite.ManagedBy",5,17,"AgentCardManifest.ReadWrite.ManagedBy is a privilege for Microsoft Graph API that allows reading and writing of Agent Card Manifests,which are used to configure agent cards in Microsoft Teams. This privilege can be granted to users or groups to allow them to manage their own agent cards,but it should be used with caution as it could potentially allow unauthorized access to sensitive data."
scp,AgentCollection.ReadWrite.All,AgentCollection.ReadWrite.All,5,12,"Full access to read and write all collections and their properties, including the ability to create new collections. This privilege allows an attacker to modify or delete any collection or its properties, potentially leading to data loss or corruption. It should be used only in specific scenarios where it is necessary for an application to have full control over collections."
roles,AgentCollection.ReadWrite.ManagedBy,AgentCollection.ReadWrite.ManagedBy,5,19,"Note that the extended description field contains commas and newlines,so it is enclosed in double-quotes and any double-quotes within the description are escaped by doubling them."
scp,AgentCollection.Read.All,AgentCollection.Read.All,5,13,"""Extended description for privilege AgentCollection.Read.All: This privilege allows a user or application to read data from all agent collections, including their metadata and any documents stored within them. This privilege can be used by applications that need to access data stored in agent collections, such as customer service agents who need to access customer interactions, sales representatives who need to access sales data, etc. It is important to note that this privilege does not allow for the creation, modification, or deletion of agent collections themselves, only the ability to read their contents."""
scp,AgentInstance.Read.All,AgentInstance.Read.All,5,10,"AgentInstance.Read.All: The privilege AgentInstance.Read.All allows an application to read all instances of a service or agent,including the configuration,status,and logs. This privilege is granted by default to the Azure AD built-in roles like Service Support Administrator and Cloud Application Administrator. This privilege should be used with caution as it can provide access to sensitive information. It's important to have proper security measures in place to prevent unauthorized access or data breaches."
scp,AgentInstance.ReadWrite.All,AgentInstance.ReadWrite.All,5,20,"The 'AgentInstance.ReadWrite.All' privilege grants the ability to read and write all agent instances in Microsoft Graph, including sensitive properties such as credentials. This privilege should only be granted to trusted applications and users who need to manage agent instances on behalf of others. It is important to implement proper access controls and auditing to ensure that this privilege is used responsibly and securely."
roles,AgentInstance.ReadWrite.ManagedBy,AgentInstance.ReadWrite.ManagedBy,5,14,"The AgentInstance.ReadWrite.ManagedBy privilege allows an agent to read and write data for the ManagedBy group of objects in Active Directory. This privilege is used by agents that need to manage access control lists (ACLs) for these objects, such as setting permissions or adding users to groups. It is important to use this privilege only when necessary and to follow security best practices, such as granting the minimum privileges required to perform a task and regularly reviewing access controls."
scp,AgentIdentity.ReadWrite.All,"AgentIdentity.ReadWrite.All, Directory.ReadWrite.All",5,20,"extended_description: ""AgentIdentity.ReadWrite.All allows an application to read and write all agent identities in a tenant, including those of other users. This privilege is used by applications that need to manage agent identities for their users, such as customer service or support agents. However, this privilege also has security implications, as it allows an attacker to gain access to sensitive information about all agents in the tenant. Therefore, it should only be granted to trusted applications and only to those agents who need it."""
roles,AgentIdentity.CreateAsManager,"AgentIdentity.EnableDisable.All, AgentIdentity.CreateAsManager",8,17,"Allows a manager to create new agent identities for their team members. This privilege is used to allow managers to onboard new agents and assign them appropriate permissions within the organization's hierarchy. It is important to use this privilege judiciously and only grant it to trusted individuals who have been vetted and cleared by the organization's security team. Using this privilege without proper authorization can result in data breaches, information leaks, or other security incidents."
scp,AgentIdentity.DeleteRestore.All,AgentIdentity.DeleteRestore.All,15,20,Security Implications:
scp,AgentIdentity.Read.All,AgentIdentity.Read.All,5,14,"Agent Identity is a privilege that allows an application to read user identity information,such as their display name,email address,and other identifying information. This privilege grants access to sensitive data and could potentially be used to impersonate users or steal sensitive information."
scp,Application.Read.All,Application.Read.All,5,20,"Applications with this privilege can read and list all Azure AD applications,including their properties and credentials. This privilege is used by management tools that need to access information about all applications in the directory. However,it should be noted that this privilege also grants access to sensitive information such as client secrets,so it should only be granted to trusted applications."
roles,AgentIdentity.Create.All,"AgentIdentity.CreateAsManager, AgentIdentity.Create.All",20,18,"Allowed to create new identities for users, groups and teams."
scp,AgentIdentity.EnableDisable.All,AgentIdentity.EnableDisable.All,20,19,"""extended_description"": ""The AgentIdentity.EnableDisable.All privilege allows an agent to enable or disable other agents on the system, including those that are already enabled. This privilege is only needed for administrative tasks and should be granted sparingly. Enabling or disabling other agents can have security implications, such as allowing an attacker to gain access to a service account's credentials or to impersonate a user with elevated privileges. It is important to ensure that users who are granted this privilege are trusted and authorized to perform these tasks."""
scp,AgentIdentityBlueprint.AddRemoveCreds.All,"AgentIdentityBlueprint.AddRemoveCreds.All, AgentIdentityBlueprint.UpdateBranding.All",20,-1,Use-cases:
scp,AgentIdentityBlueprint.ReadWrite.All,AgentIdentityBlueprint.ReadWrite.All,5,15,AgentIdentityBlueprint.ReadWrite.All
scp,AgentIdentityBlueprint.DeleteRestore.All,AgentIdentityBlueprint.DeleteRestore.All,15,15,"Allow to delete and restore all agent identity objects in the entire tenant, including those that belong to other users or groups. This privilege is intended for administrators who are responsible for managing the security of the tenant and its assets. It should be used with caution and only by authorized personnel.

Security implications:

* Provides complete control over all agent identity objects in the tenant, including those that belong to other users or groups.
* Allows unauthorized access to sensitive information and data if not properly secured.
* Can cause significant disruption to the normal functioning of the system if used maliciously.

Use-cases:

* System administration and maintenance tasks, such as cleaning up stale agent identity objects or restoring deleted ones.
* Troubleshooting and diagnostic purposes, such as identifying and addressing issues with specific agent identity objects.

Guidance:

* This privilege should only be granted to authorized personnel, such as system administrators or security officers.
* Access to this privilege should be restricted to the minimum number of users necessary to perform their jobs effectively.
* Proper auditing and logging should be implemented to track all access and changes made using this privilege.
* Regular security audits and reviews should be conducted to ensure that this privilege is being used appropriately and securely."
scp,Application.ReadWrite.All,Application.ReadWrite.All,5,19,"The Application.ReadWrite.All privilege allows an application to read and write all applications in the directory, including other tenants' applications. This can be used for automation or synchronization of applications across multiple tenants. However, it also allows an attacker to read and write any application in the directory, which could potentially lead to data breaches or takeover of accounts. It is important to use this privilege with caution and only grant it to trusted applications that have a legitimate need to access other tenants' applications."
scp,AgentIdentityBlueprint.Read.All,AgentIdentityBlueprint.Read.All,5,10,"AgentIdentityBlueprint.Read.All allows an application to read all identity blueprints for a specific agent. This includes information about the agent's identity, such as their name and contact information. This privilege is typically used by applications that need to interact with the agent's identity in some way, such as a help desk application that needs to retrieve an agent's contact information.

Security implications:
This privilege allows an application to access sensitive information about the agent's identity, which could potentially be used for malicious purposes if not handled correctly. It is important to ensure that the application is authorized to use this privilege and that appropriate security measures are in place to protect the agent's data.

Use-cases:
This privilege could be useful in a variety of scenarios, such as when an application needs to retrieve an agent's contact information for the purpose of sending them notifications or updates. It could also be used by an application that needs to perform identity verification for security purposes.

Guidance:
When using this privilege, it is important to ensure that the application is authorized to use it and that appropriate security measures are in place to protect the agent's data. Additionally, the application should only access the information that it needs, and should not attempt to access any other sensitive information. It is also recommended to regularly review the application's use of this privilege to ensure that it is being used correctly and securely."
scp,AgentIdentityBlueprint.UpdateBranding.All,"AgentIdentityBlueprint.AddRemoveCreds.All, AgentIdentityBlueprint.UpdateBranding.All",10,15,Allows the ability to update branding information for a specific agent identity. This privilege grants access to sensitive information and should be used with caution. Use-cases include updating the logo or colors associated with an agent's identity. Guidance: Only grant this privilege to trusted users who require access to update branding information.
scp,AgentIdentityBlueprint.Create,AgentIdentityBlueprint.Create,8,1,"The Agent Identity Blueprint.Create privilege allows a user to create new agent identities, which are used to represent the identity of an agent in the organization. This privilege is typically granted to users who need to manage and configure agents for their team or department. However, it's important to use this privilege judiciously and only grant it to trusted users, as it can potentially be used to create new agents with elevated privileges that could be used to compromise the security of the organization."
scp,AgentIdentityBlueprintPrincipal.ReadWrite.All,"AgentIdentityBlueprintPrincipal.ReadWrite.All, Directory.ReadWrite.All",5,18,"The AgentIdentityBlueprintPrincipal.ReadWrite.All privilege allows a principal to read and write all aspects of the agent's identity blueprint, including the agent's name, email, and phone number. This privilege is used by systems that need to manage and update an agent's identity information. It is important to ensure that this privilege is only granted to trusted systems and principals, as it could potentially be used for malicious purposes such as phishing or social engineering attacks. Additionally, it is important to ensure that proper security measures are in place to protect the sensitive information stored in the agent's identity blueprint."
scp,AgentIdentityBlueprintPrincipal.DeleteRestore.All,AgentIdentityBlueprintPrincipal.DeleteRestore.All,15,15,AgentIdentityBlueprintPrincipal.DeleteRestore.All
scp,AgentIdentityBlueprintPrincipal.Read.All,AgentIdentityBlueprintPrincipal.Read.All,5,1,"extended_description: ""This privilege allows an application to read the identity blueprint of another user, which includes their ID and tenant ID. This can be used for purposes such as authentication or authorization. However, it is important to note that this privilege should only be granted to trusted applications and users, as it potentially allows access to sensitive information about other users' identities."""
scp,AgentIdentityBlueprintPrincipal.Create,AgentIdentityBlueprintPrincipal.Create,8,15,"Allows creating a new agent identity for the Blueprint Principal. This privilege should be used with caution, as it allows an attacker to create a new agent identity that can be used for malicious purposes. It is recommended to use this privilege only in conjunction with other security measures, such as MFA and IP filtering."
scp,AgentIdentityBlueprintPrincipal.EnableDisable.All,AgentIdentityBlueprintPrincipal.EnableDisable.All,20,17,"""extended_description"": ""This privilege allows an agent to enable or disable any identity blueprint principal in the system. This privilege should be used with caution, as it can potentially allow unauthorized access to sensitive data. It is recommended to use this privilege only when necessary and to limit its scope to the minimum set of users and computers that require it."""
roles,gentInstance.ReadWrite.ManagedBy,"gentInstance.ReadWrite.ManagedBy, AgentInstance.ReadWrite.All",5,10,"Read and write access to the Managed By property of instances in the Gent Instance service. This privilege is used by services that need to manage relationships between instances, such as a database management system or a workflow engine."
scp,IdentityRiskEvent.Read.All,IdentityRiskEvent.Read.All,5,15,"IdentityRiskEvent.Read.All allows an application to read identity risk events for all users in the organization. This privilege is used by applications that need to monitor and analyze identity risk events, such as user activity or account compromise. It can also be used by applications that need to integrate with third-party security systems that require access to identity risk data.

Security implications:
This privilege provides broad access to sensitive information about users' behavior and accounts. Therefore, it should only be granted to trusted applications and users who have a legitimate reason for accessing this data. It is recommended to use caution when granting this privilege and to monitor the usage of the application that has been granted this permission.

Use-cases:
This privilege can be used by applications that need to:

* Monitor user activity and detect potential security threats, such as account compromise or unauthorized access.
* Integrate with third-party security systems for identity risk management.
* Provide users with personalized recommendations based on their behavior and accounts.
* Analyze user behavior and provide insights to improve the overall security posture of the organization.

Guidance:
When granting this privilege, it is recommended to limit its scope as much as possible. For example, you can restrict the access to specific users or groups, or limit the data that can be read by the application. It is also important to monitor the usage of the application and revoke the permission if necessary."
scp,Agreement.ReadWrite.All,Agreement.ReadWrite.All,5,10,"This privilege has significant security implications,as it allows an attacker to gain access to sensitive information in your organization's agreements. Therefore,it is important to use this privilege only when necessary and to carefully scope the access to specific application permissions."
scp,Agreement.Read.All,Agreement.Read.All,5,17,"The Agreement.Read.All privilege allows an app to read all agreements and their related items, such as lines and documents. This privilege is used by apps that need to read and process agreement data, such as a CRM system or a financial management app.

Security implications:
This privilege grants access to sensitive data, so it should only be granted to apps that have a legitimate reason to access this data. The app should be designed to handle sensitive data securely and protect it from unauthorized access.

Use-cases:
An example of an app that would use this privilege is a CRM system that needs to read and process agreement data, such as sales orders or purchase agreements. Another example could be a financial management app that needs to read and process invoices or other types of financial documents.

Guidance:
When granting this privilege, consider the level of access required by the app and the sensitivity of the data it will have access to. Only grant this privilege to apps that have a legitimate reason to access this data and are designed to handle sensitive data securely."
scp,AgreementAcceptance.Read,AgreementAcceptance.Read,5,10,"extended_description:""AgreementAcceptance.Read allows an application to read agreement acceptances in Azure Active Directory (AAD). This privilege can be used to retrieve information about agreements that users have accepted, which can be useful for auditing or compliance purposes. However, it's important to note that this privilege does not allow the application to access any other information in AAD, such as user data or group membership."""
scp,AgreementAcceptance.Read.All,AgreementAcceptance.Read.All,5,17,"""Extended Description: The AgreementAcceptance.Read.All privilege allows an application to read all user agreement acceptances across tenants, including personal and work or school accounts. This can be useful for applications that need to display a summary of accepted agreements for a user, such as in a profile page or dashboard. However, it is important to note that this privilege does not allow an application to read the contents of individual agreements, only whether or not a user has accepted them. It is also worth considering the security implications of granting this privilege, as it could potentially be used by an attacker to gain insight into which users have accepted specific agreements. As such, it should be granted with caution and only to trusted applications. Use-cases: A web application that displays a user's profile page, including a list of all the agreements they have accepted. A mobile app that needs to check if a user has accepted a specific agreement before proceeding with a particular action."""
scp,SecurityEvents.Read.All,SecurityEvents.Read.All,5,18,"The SecurityEvents.Read.All privilege in Microsoft Graph API allows reading security-related events and alerts from the organization's security solution, including identity protection and threat protection solutions. This privilege is used by applications that need to read and analyze security events for purposes such as incident response, security monitoring, or compliance reporting.

Security implications: This privilege provides access to sensitive information about the organization's security posture and potential threats. Therefore, it should only be granted to trusted applications and users who have a legitimate reason to access this data. Additionally, the application or user accessing this privilege should have appropriate controls in place to handle and protect the sensitive data they receive.

Use-cases: This privilege could be used by an incident response team to monitor for security threats and investigate incidents. It could also be used by a compliance officer to gather data for auditing and reporting purposes.

Guidance: When granting this privilege, it is important to consider the following:

* Only grant this privilege to trusted applications and users who have a legitimate reason to access security events.
* Ensure that appropriate controls are in place to handle and protect sensitive data, such as encryption and access controls.
* Monitor and audit access to this privilege to ensure it is used appropriately and to detect any potential security threats."
scp,SecurityEvents.ReadWrite.All,SecurityEvents.ReadWrite.All,5,19,"Security Events Read Write All : This privilege allows the ability to read and write security-related events for a tenant. This includes the ability to read,create,update,and delete security-related events in the audit logs. This privilege is typically used by applications that need to access and analyze security-related data. It's important to note that this privilege provides broad access to sensitive data,so it should be used with caution and only granted to trusted applications. It's also recommended to use other security measures such as access controls and logging to ensure that the data is properly protected."
scp,CustomSecAttributeDefinition.Read.All,CustomSecAttributeDefinition.Read.All,5,18,CustomSecAttributeDefinition.Read.All is a privilege that allows reading the definition of custom security attributes.
scp,CustomSecAttributeDefinition.ReadWrite.All,CustomSecAttributeDefinition.ReadWrite.All,5,10,"CustomSecAttributeDefinition.ReadWrite.All allows an application to read and write all custom security attributes defined in Azure Active Directory (AAD). This includes reading and writing custom attribute schema, attribute values for users, groups, and other directory objects, as well as ability to define new custom attributes.

This privilege is only available to applications that are authorized by a Global Administrator of the tenant. It should be used with caution and only granted to trusted applications that require this level of access.

Use-cases for this privilege include:

* Synchronizing custom security attributes from an on-premises Active Directory to Azure AD during Azure AD Connect configuration.
* Reading and writing custom attribute values for users, groups, and other directory objects in Azure AD.
* Defining new custom security attributes in Azure AD.

Guidance:

* Only grant this privilege to trusted applications that require it.
* Ensure that the application is designed and implemented with strong security controls to prevent unauthorized access or misuse of the privilege.
* Regularly review and audit usage of this privilege to ensure compliance with security policies and procedures."
scp,AppCatalog.Submit,AppCatalog.Submit,8,10,"AppCatalog.Submit allows an application to submit a new add-in or app package to the tenant's app catalog. This privilege is used by SharePoint Online to allow users to upload and share their custom web parts, add-ins, and other apps with others in their organization. It should only be granted to trusted applications that are designed to interact with the tenant's app catalog."
scp,AppCatalog.Read.All,"AppCatalog.Read.All, AppCatalog.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All",5,17,"AppCatalog.Read.All allows you to read applications in your organization's app catalog, including metadata and properties. This privilege does not grant access to the application files or contents themselves, only to the metadata stored in Azure AD.
  
  This privilege is typically granted to adminstrators who need to manage the app catalog and ensure that approved applications are listed. It should be used with caution as it allows an attacker to see all the applications in your organization's app catalog, including any sensitive or confidential information associated with them."
